evaluation_id,song,original_mix_name,mix_id,participant_id,evaluator_institution_code,mixer_identity_fields,self_rating_identifiable,self_rating_flag,evidence,exclusion_feasible,notes
evaluation_7756733a939f,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg3,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_63acc42b2583,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg5,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_c6d4b15a55be,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_h,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_10db3decf3b0,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_subd,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_bb263a8efaf9,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg4,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_47c8f7526950,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_b,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_8d9bdcef6521,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_subh,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_f96607b805e7,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_e,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_d0d44b39d949,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg1,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_b99bea700b4a,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mcg_pro1,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_ad0ea0f76bca,No Prize,McG-I,mix_58fa089225bc,participant_mcg_mg9,McG,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_a2ec8a04ac48,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_12,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9c39afda7723,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_21,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_f36f295cc38b,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_5,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_8a9cff7c224b,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_8,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_d13a8edaec03,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_2,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9445bf1475eb,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_1,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_a89a6b492ac4,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_18,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_b636546c03b1,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_2,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_38f48d3c66ec,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_3,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_89813cf4aacd,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_20,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_ae1fe95840d6,No Prize,McG-I,mix_58fa089225bc,participant_qm_qm_19,QM,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_223fae74c5c1,No Prize,McG-I,mix_58fa089225bc,participant_smc_smc_6,SMC,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_d60d689b36fc,No Prize,McG-I,mix_58fa089225bc,participant_smc_smc_5,SMC,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_e13e0dcd5a4a,No Prize,McG-I,mix_58fa089225bc,participant_smc_smc_20,SMC,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_b78e1bb0f735,No Prize,McG-I,mix_58fa089225bc,participant_smc_smc_24,SMC,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_b85f849a279f,No Prize,McG-I,mix_58fa089225bc,participant_smc_smc_8,SMC,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_a159de974fcb,No Prize,McG-I,mix_58fa089225bc,participant_smc_smc_21,SMC,mixer_id=McG-I; legacy_mix_code=McG-I; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9f19b86809f5,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_suba,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_e80e362199c4,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_a,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_d039b35767ba,No Prize,McG-J,mix_7df159240700,participant_mcg_mg2,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_dc8efcc01304,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_d,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_85563f0e1027,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_c,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_ff7a57035be1,No Prize,McG-J,mix_7df159240700,participant_mcg_mg6,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_09d85c8af19e,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_pro2,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_165716dc4097,No Prize,McG-J,mix_7df159240700,participant_mcg_mg8,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_543c910e3a1d,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_subc,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_96951ed62a6c,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_f,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_2945f05e9a83,No Prize,McG-J,mix_7df159240700,participant_mcg_mg3,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_485d48e6df7c,No Prize,McG-J,mix_7df159240700,participant_mcg_mg5,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_c8cad63e2e1a,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_h,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_df16ff85234d,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_subd,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_79889247a813,No Prize,McG-J,mix_7df159240700,participant_mcg_mg4,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_1b687a2d868c,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_b,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_ebdf69635f91,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_subh,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_07e02dff8fa1,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_e,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9c4b15bbaa3b,No Prize,McG-J,mix_7df159240700,participant_mcg_mg1,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_fa9a9b5bb247,No Prize,McG-J,mix_7df159240700,participant_mcg_mcg_pro1,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9b66bc14e5c9,No Prize,McG-J,mix_7df159240700,participant_mcg_mg9,McG,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_8119fb0bea2e,No Prize,McG-J,mix_7df159240700,participant_qm_qm_12,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_a918e607d041,No Prize,McG-J,mix_7df159240700,participant_qm_qm_21,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_1b48258297ee,No Prize,McG-J,mix_7df159240700,participant_qm_qm_5,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_b8ea90608883,No Prize,McG-J,mix_7df159240700,participant_qm_qm_8,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_7cf8e4e44594,No Prize,McG-J,mix_7df159240700,participant_qm_qm_2,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_13df3e242f88,No Prize,McG-J,mix_7df159240700,participant_qm_qm_1,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9f9c6a04a7b0,No Prize,McG-J,mix_7df159240700,participant_qm_qm_18,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_9bb3de5f2e4d,No Prize,McG-J,mix_7df159240700,participant_qm_qm_2,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_57d629e2ec1d,No Prize,McG-J,mix_7df159240700,participant_qm_qm_3,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_ebc51dadd2d1,No Prize,McG-J,mix_7df159240700,participant_qm_qm_20,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_20e551673688,No Prize,McG-J,mix_7df159240700,participant_qm_qm_19,QM,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_3fc2ac56dc4e,No Prize,McG-J,mix_7df159240700,participant_smc_smc_6,SMC,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_6305b33dea29,No Prize,McG-J,mix_7df159240700,participant_smc_smc_5,SMC,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_95b6db931936,No Prize,McG-J,mix_7df159240700,participant_smc_smc_20,SMC,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_c70a12ca078f,No Prize,McG-J,mix_7df159240700,participant_smc_smc_24,SMC,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_01835763aaf5,No Prize,McG-J,mix_7df159240700,participant_smc_smc_8,SMC,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_432637fb9507,No Prize,McG-J,mix_7df159240700,participant_smc_smc_21,SMC,mixer_id=McG-J; legacy_mix_code=McG-J; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_d99a16293fee,No Prize,McG-K,mix_176dff701046,participant_mcg_mcg_suba,McG,mixer_id=McG-K; legacy_mix_code=McG-K; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_489205623473,No Prize,McG-K,mix_176dff701046,participant_mcg_mcg_a,McG,mixer_id=McG-K; legacy_mix_code=McG-K; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
evaluation_27330bc5752a,No Prize,McG-K,mix_176dff701046,participant_mcg_mg2,McG,mixer_id=McG-K; legacy_mix_code=McG-K; mixer_institution_code=McG,false,,"No explicit participant-to-mixer identity mapping or creator/evaluator flag found in evaluations.csv, mixes.csv, retained feature table, or SCHEMA.md.",false,Institution equality alone was not used as self-rating evidence.
