source,method_key,model_key,model_label,condition,prediction_example_id,participant_id,group,episode,song_id,predicted_preferred_mix,actual_top_tie_set,top1_correct,spearman
llm,centaur__non_history,centaur,Centaur,non_history,P013__heldout__P013__trial_03,P013,group_02,FM-1,pouring_room,A,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P013__heldout__P013__trial_04,P013,group_02,FM-1,in_the_meantime,A,B|C|D|E,0,-0.7071067811865475
llm,centaur__non_history,centaur,Centaur,non_history,P013__heldout__P013__trial_05,P013,group_02,EDR-2,pouring_room,C,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P013__heldout__P013__trial_06,P013,group_02,EDR-2,in_the_meantime,C,D,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P014__heldout__P014__trial_01,P014,group_01,EDR-2,lead_me,A,E,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P014__heldout__P014__trial_02,P014,group_01,EDR-2,id_like_to_know,C,E,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P014__heldout__P014__trial_03,P014,group_01,FM-1,lead_me,C,E,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P014__heldout__P014__trial_04,P014,group_01,FM-1,id_like_to_know,C,E,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P014__heldout__P014__trial_05,P014,group_01,EDR-1,id_like_to_know,C,E,0,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P014__heldout__P014__trial_06,P014,group_01,EDR-1,lead_me,C,E,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P015__heldout__P015__trial_01,P015,group_01,EDR-1,lead_me,C,A,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P015__heldout__P015__trial_02,P015,group_01,EDR-1,id_like_to_know,C,D,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P015__heldout__P015__trial_03,P015,group_01,EDR-2,id_like_to_know,C,D,0,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P015__heldout__P015__trial_04,P015,group_01,EDR-2,lead_me,C,A,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P015__heldout__P015__trial_05,P015,group_01,FM-1,lead_me,A,E,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P015__heldout__P015__trial_06,P015,group_01,FM-1,id_like_to_know,A,B,0,-0.9
llm,centaur__non_history,centaur,Centaur,non_history,P016__heldout__P016__trial_01,P016,group_01,FM-1,lead_me,C,D,0,-0.6668859288553503
llm,centaur__non_history,centaur,Centaur,non_history,P016__heldout__P016__trial_02,P016,group_01,FM-1,id_like_to_know,A,C,0,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P016__heldout__P016__trial_03,P016,group_01,EDR-2,id_like_to_know,C,C,1,0.8
llm,centaur__non_history,centaur,Centaur,non_history,P016__heldout__P016__trial_04,P016,group_01,EDR-2,lead_me,C,E,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P016__heldout__P016__trial_05,P016,group_01,EDR-1,lead_me,C,C,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P016__heldout__P016__trial_06,P016,group_01,EDR-1,id_like_to_know,C,B,0,-0.6668859288553503
llm,centaur__non_history,centaur,Centaur,non_history,P017__heldout__P017__trial_01,P017,group_02,EDR-2,in_the_meantime,C,A,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P017__heldout__P017__trial_02,P017,group_02,EDR-2,pouring_room,C,A|B|D,0,-0.5773502691896257
llm,centaur__non_history,centaur,Centaur,non_history,P017__heldout__P017__trial_03,P017,group_02,EDR-1,pouring_room,C,C,1,0.2
llm,centaur__non_history,centaur,Centaur,non_history,P017__heldout__P017__trial_04,P017,group_02,EDR-1,in_the_meantime,C,D,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P017__heldout__P017__trial_05,P017,group_02,FM-1,pouring_room,A,C,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P017__heldout__P017__trial_06,P017,group_02,FM-1,in_the_meantime,C,B,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P018__heldout__P018__trial_01,P018,group_02,EDR-2,pouring_room,A,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P018__heldout__P018__trial_02,P018,group_02,EDR-2,in_the_meantime,A,D,0,-0.35909242322980395
llm,centaur__non_history,centaur,Centaur,non_history,P018__heldout__P018__trial_03,P018,group_02,FM-1,pouring_room,C,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P018__heldout__P018__trial_04,P018,group_02,FM-1,in_the_meantime,A,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P018__heldout__P018__trial_05,P018,group_02,EDR-1,pouring_room,A,A|B|C|D|E,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P018__heldout__P018__trial_06,P018,group_02,EDR-1,in_the_meantime,C,B,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P019__heldout__P019__trial_01,P019,group_02,EDR-2,in_the_meantime,A,D,0,-1.0
llm,centaur__non_history,centaur,Centaur,non_history,P019__heldout__P019__trial_02,P019,group_02,EDR-2,pouring_room,A,A,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P019__heldout__P019__trial_03,P019,group_02,EDR-1,in_the_meantime,A,A,1,0.8
llm,centaur__non_history,centaur,Centaur,non_history,P019__heldout__P019__trial_04,P019,group_02,EDR-1,pouring_room,A,B,0,-0.8
llm,centaur__non_history,centaur,Centaur,non_history,P019__heldout__P019__trial_05,P019,group_02,FM-1,in_the_meantime,A,A,1,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P019__heldout__P019__trial_06,P019,group_02,FM-1,pouring_room,A,E,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P020__heldout__P020__trial_01,P020,group_02,FM-1,in_the_meantime,A,D,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P020__heldout__P020__trial_02,P020,group_02,FM-1,pouring_room,A,A,1,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P020__heldout__P020__trial_03,P020,group_02,EDR-2,in_the_meantime,A,C,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P020__heldout__P020__trial_04,P020,group_02,EDR-2,pouring_room,C,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P020__heldout__P020__trial_05,P020,group_02,EDR-1,in_the_meantime,C,D,0,-0.7181848464596079
llm,centaur__non_history,centaur,Centaur,non_history,P020__heldout__P020__trial_06,P020,group_02,EDR-1,pouring_room,A,A,1,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P021__heldout__P021__trial_01,P021,group_01,EDR-1,lead_me,C,C,1,0.35909242322980395
llm,centaur__non_history,centaur,Centaur,non_history,P021__heldout__P021__trial_02,P021,group_01,EDR-1,id_like_to_know,C,C,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P021__heldout__P021__trial_03,P021,group_01,FM-1,id_like_to_know,A,C|E,0,-0.051298917604257706
llm,centaur__non_history,centaur,Centaur,non_history,P021__heldout__P021__trial_04,P021,group_01,FM-1,lead_me,C,A,0,-0.05270462766947299
llm,centaur__non_history,centaur,Centaur,non_history,P021__heldout__P021__trial_05,P021,group_01,EDR-2,lead_me,C,A|B|E,0,0.22360679774997896
llm,centaur__non_history,centaur,Centaur,non_history,P021__heldout__P021__trial_06,P021,group_01,EDR-2,id_like_to_know,A,B|C,0,-0.05270462766947299
llm,centaur__non_history,centaur,Centaur,non_history,P022__heldout__P022__trial_01,P022,group_01,EDR-2,id_like_to_know,A,E,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P022__heldout__P022__trial_02,P022,group_01,EDR-2,lead_me,C,C,1,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P022__heldout__P022__trial_03,P022,group_01,FM-1,lead_me,A,B,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P022__heldout__P022__trial_04,P022,group_01,FM-1,id_like_to_know,A,D,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P022__heldout__P022__trial_05,P022,group_01,EDR-1,lead_me,C,B,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P022__heldout__P022__trial_06,P022,group_01,EDR-1,id_like_to_know,C,B,0,-0.9
llm,centaur__non_history,centaur,Centaur,non_history,P023__heldout__P023__trial_01,P023,group_02,FM-1,pouring_room,A,C,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P023__heldout__P023__trial_02,P023,group_02,FM-1,in_the_meantime,A,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P023__heldout__P023__trial_03,P023,group_02,EDR-1,in_the_meantime,C,A,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P023__heldout__P023__trial_04,P023,group_02,EDR-1,pouring_room,A,C,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P023__heldout__P023__trial_05,P023,group_02,EDR-2,pouring_room,A,D,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P023__heldout__P023__trial_06,P023,group_02,EDR-2,in_the_meantime,C,A,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P024__heldout__P024__trial_01,P024,group_01,FM-1,id_like_to_know,C,E,0,0.2
llm,centaur__non_history,centaur,Centaur,non_history,P024__heldout__P024__trial_02,P024,group_01,FM-1,lead_me,A,C,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P024__heldout__P024__trial_03,P024,group_01,EDR-1,id_like_to_know,C,A,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P024__heldout__P024__trial_04,P024,group_01,EDR-1,lead_me,C,A,0,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P024__heldout__P024__trial_05,P024,group_01,EDR-2,id_like_to_know,C,A,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P024__heldout__P024__trial_06,P024,group_01,EDR-2,lead_me,A,A,1,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P025__heldout__P025__trial_01,P025,group_01,EDR-1,id_like_to_know,C,E,0,0.5
llm,centaur__non_history,centaur,Centaur,non_history,P025__heldout__P025__trial_02,P025,group_01,EDR-1,lead_me,A,B,0,-0.8
llm,centaur__non_history,centaur,Centaur,non_history,P025__heldout__P025__trial_03,P025,group_01,FM-1,id_like_to_know,C,A,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P025__heldout__P025__trial_04,P025,group_01,FM-1,lead_me,C,C,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P025__heldout__P025__trial_05,P025,group_01,EDR-2,lead_me,C,C,1,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P025__heldout__P025__trial_06,P025,group_01,EDR-2,id_like_to_know,C,B,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P026__heldout__P026__trial_01,P026,group_02,EDR-2,in_the_meantime,C,C,1,0.4
llm,centaur__non_history,centaur,Centaur,non_history,P026__heldout__P026__trial_02,P026,group_02,EDR-2,pouring_room,C,B,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P026__heldout__P026__trial_03,P026,group_02,EDR-1,pouring_room,A,D,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P026__heldout__P026__trial_04,P026,group_02,EDR-1,in_the_meantime,C,B,0,-0.8
llm,centaur__non_history,centaur,Centaur,non_history,P026__heldout__P026__trial_05,P026,group_02,FM-1,pouring_room,A,D,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P026__heldout__P026__trial_06,P026,group_02,FM-1,in_the_meantime,C,B,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P027__heldout__P027__trial_01,P027,group_02,FM-1,pouring_room,A,A,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P027__heldout__P027__trial_02,P027,group_02,FM-1,in_the_meantime,C,C,1,0.4
llm,centaur__non_history,centaur,Centaur,non_history,P027__heldout__P027__trial_03,P027,group_02,EDR-1,pouring_room,C,A,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P027__heldout__P027__trial_04,P027,group_02,EDR-1,in_the_meantime,C,B,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P027__heldout__P027__trial_05,P027,group_02,EDR-2,in_the_meantime,C,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P027__heldout__P027__trial_06,P027,group_02,EDR-2,pouring_room,A,B,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P028__heldout__P028__trial_01,P028,group_01,EDR-2,id_like_to_know,C,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P028__heldout__P028__trial_02,P028,group_01,EDR-2,lead_me,C,A,0,0.4
llm,centaur__non_history,centaur,Centaur,non_history,P028__heldout__P028__trial_03,P028,group_01,FM-1,lead_me,A,D,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P028__heldout__P028__trial_04,P028,group_01,FM-1,id_like_to_know,A,D,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P028__heldout__P028__trial_05,P028,group_01,EDR-1,id_like_to_know,C,A,0,0.2
llm,centaur__non_history,centaur,Centaur,non_history,P028__heldout__P028__trial_06,P028,group_01,EDR-1,lead_me,C,A,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P029__heldout__P029__trial_01,P029,group_02,EDR-1,pouring_room,C,C,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P029__heldout__P029__trial_02,P029,group_02,EDR-1,in_the_meantime,A,A,1,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P029__heldout__P029__trial_03,P029,group_02,EDR-2,pouring_room,A,B,0,-0.4
llm,centaur__non_history,centaur,Centaur,non_history,P029__heldout__P029__trial_04,P029,group_02,EDR-2,in_the_meantime,C,C,1,0.4
llm,centaur__non_history,centaur,Centaur,non_history,P029__heldout__P029__trial_05,P029,group_02,FM-1,pouring_room,A,B,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P029__heldout__P029__trial_06,P029,group_02,FM-1,in_the_meantime,A,E,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P030__heldout__P030__trial_01,P030,group_02,FM-1,in_the_meantime,A,C,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P030__heldout__P030__trial_02,P030,group_02,FM-1,pouring_room,C,C,1,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P030__heldout__P030__trial_03,P030,group_02,EDR-2,in_the_meantime,C,A,0,0.8
llm,centaur__non_history,centaur,Centaur,non_history,P030__heldout__P030__trial_04,P030,group_02,EDR-2,pouring_room,A,E,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P030__heldout__P030__trial_05,P030,group_02,EDR-1,pouring_room,C,C,1,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P030__heldout__P030__trial_06,P030,group_02,EDR-1,in_the_meantime,C,C,1,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P031__heldout__P031__trial_01,P031,group_01,FM-1,id_like_to_know,C,E,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P031__heldout__P031__trial_02,P031,group_01,FM-1,lead_me,A,E,0,0.6
llm,centaur__non_history,centaur,Centaur,non_history,P031__heldout__P031__trial_03,P031,group_01,EDR-2,id_like_to_know,C,A,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P031__heldout__P031__trial_04,P031,group_01,EDR-2,lead_me,C,A,0,0.3
llm,centaur__non_history,centaur,Centaur,non_history,P031__heldout__P031__trial_05,P031,group_01,EDR-1,id_like_to_know,A,A,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P031__heldout__P031__trial_06,P031,group_01,EDR-1,lead_me,C,C,1,0.9
llm,centaur__non_history,centaur,Centaur,non_history,P032__heldout__P032__trial_01,P032,group_02,EDR-2,pouring_room,C,D,0,-0.2
llm,centaur__non_history,centaur,Centaur,non_history,P032__heldout__P032__trial_02,P032,group_02,EDR-2,in_the_meantime,A,A,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P032__heldout__P032__trial_03,P032,group_02,EDR-1,pouring_room,A,C,0,0.0
llm,centaur__non_history,centaur,Centaur,non_history,P032__heldout__P032__trial_04,P032,group_02,EDR-1,in_the_meantime,C,C,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P032__heldout__P032__trial_05,P032,group_02,FM-1,in_the_meantime,C,A,0,-0.3
llm,centaur__non_history,centaur,Centaur,non_history,P032__heldout__P032__trial_06,P032,group_02,FM-1,pouring_room,C,D,0,-0.7
llm,centaur__non_history,centaur,Centaur,non_history,P033__heldout__P033__trial_01,P033,group_02,FM-1,pouring_room,A,E,0,-0.1
llm,centaur__non_history,centaur,Centaur,non_history,P033__heldout__P033__trial_02,P033,group_02,FM-1,in_the_meantime,A,D,0,-0.6
llm,centaur__non_history,centaur,Centaur,non_history,P033__heldout__P033__trial_03,P033,group_02,EDR-2,pouring_room,A,B,0,-0.5
llm,centaur__non_history,centaur,Centaur,non_history,P033__heldout__P033__trial_04,P033,group_02,EDR-2,in_the_meantime,C,C,1,0.7
llm,centaur__non_history,centaur,Centaur,non_history,P033__heldout__P033__trial_05,P033,group_02,EDR-1,in_the_meantime,C,B,0,0.1
llm,centaur__non_history,centaur,Centaur,non_history,P033__heldout__P033__trial_06,P033,group_02,EDR-1,pouring_room,C,E,0,0.3
