song,condition,triplet_id,rank,objective_score,original_mix_names,mix_ids,mean_ratings,rating_bins,rating_spread,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score,rating_score,coverage_bonus,qc_penalty,qc_statuses,qc_flags,rating_counts,overlap_count,overlap_original_mix_names,selection_notes
I'd Like To Know,Similar Ratings,I'dLikeToKnow_SimilarRatings_00006,1,0.900474962007,PXL-S3|PXL-S5|PXL-S1,mix_65f41f41d3ab|mix_82d60d7c7fc5|mix_9ffcd672af17,0.387104|0.418306|0.521846,low|low|high,0.134741948699,2.63942489308,2.93241464762,1,0.502374810037,0,0,clear|clear|clear,false|false|false,30|30|30,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00003,2,0.800714642457,DU-Q|DU-R|DU-U,mix_221967d4097c|mix_42350ee2e7ab|mix_768a004d1c8d,0.586993|0.273390|0.613360,medium|low|high,0.339970813257,2.34064704292,2.88068899504,0.965960356763,0.139731785231,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-U,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00004,3,0.796474381128,DU-Q|DU-R|DU-T,mix_221967d4097c|mix_42350ee2e7ab|mix_c09620e345d0,0.586993|0.273390|0.375984,medium|low|low,0.313603040919,2.3650747116,2.65029360557,0.943359739788,0.208932946489,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-T,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00002,4,0.745047179429,DU-Q|DU-R|DU-P,mix_221967d4097c|mix_42350ee2e7ab|mix_59ac406eef54,0.586993|0.273390|0.581710,medium|low|low,0.313603040919,2.21366611875,2.68009284822,0.879075737665,0.208932946489,0,0,clear|clear|clear,false|false|false,53|53|53,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00009,5,0.59401322179,DU-Q|DU-O|DU-S,mix_221967d4097c|mix_48521615c4db|mix_c512d63997c6,0.586993|0.593892|0.666602,medium|high|high,0.079609883227,1.70092473276,1.92836269045,0.536756875574,0.823038606655,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-S,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00008,6,0.587342805862,DU-Q|DU-O|DU-T,mix_221967d4097c|mix_48521615c4db|mix_c09620e345d0,0.586993|0.593892|0.375984,medium|high|low,0.217907888082,1.80081476423,2.18231206754,0.6191582478,0.460081038114,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-T,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00018,7,0.573752092185,DU-R|DU-O|DU-T,mix_42350ee2e7ab|mix_48521615c4db|mix_c09620e345d0,0.273390|0.593892|0.375984,low|high|low,0.320502326666,1.80081476423,2.52662844759,0.669483603311,0.19082604768,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-T,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00019,8,0.519500600234,DU-R|DU-O|DU-S,mix_42350ee2e7ab|mix_48521615c4db|mix_c512d63997c6,0.273390|0.593892|0.666602,low|high|high,0.393212924146,1.70092473276,2.69887931918,0.649375750293,0,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-S,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00005,9,0.512848275864,DU-Q|DU-R|DU-S,mix_221967d4097c|mix_42350ee2e7ab|mix_c512d63997c6,0.586993|0.273390|0.666602,medium|low|high,0.393212924146,1.7031166118,2.63518845439,0.641060344831,0,0,0,clear|clear|clear,false|false|false,53|53|53,1,DU-S,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
New Skin,Similar Ratings,NewSkin_SimilarRatings_00014,10,0.439538794076,DU-Q|DU-U|DU-S,mix_221967d4097c|mix_768a004d1c8d|mix_c512d63997c6,0.586993|0.613360|0.666602,medium|high|high,0.079609883227,1.32024314514,1.78800226662,0.343663840932,0.823038606655,0,0,clear|clear|clear,false|false|false,53|53|53,2,DU-S|DU-U,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00075,1,0.808896799282,McG-L|McG-pro2|McG-N,mix_5df0d210127a|mix_6cbe1fdaeb7b|mix_76cfb2bccc8d,0.593973|0.342488|0.448046,high|low|medium,0.25148484687,2.4395702751,3.13429079063,0.993905514569,0.0688619381348,0,0,clear|clear|clear,false|false|false,38|38|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00078,2,0.804458597654,McG-L|McG-N|McG-J,mix_5df0d210127a|mix_76cfb2bccc8d|mix_7df159240700,0.593973|0.448046|0.444591,high|medium|low,0.149382079517,2.20724856622,2.98319571054,0.886857842534,0.474861618131,0,0,clear|clear|clear,false|false|false,38|38|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00062,3,0.715855942275,McG-P|McG-N|McG-J,mix_331b5d620be9|mix_76cfb2bccc8d|mix_7df159240700,0.611291|0.448046|0.444591,high|medium|low,0.166699813484,1.95766554485,2.98753587489,0.793320007845,0.405999679996,0,0,clear|clear|clear,false|false|false,38|38|38,1,McG-P,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00072,4,0.663408066146,McG-I|McG-N|McG-J,mix_58fa089225bc|mix_76cfb2bccc8d|mix_7df159240700,0.609230|0.448046|0.444591,high|medium|low,0.164638673577,1.77609259527,2.99411340275,0.725711192405,0.41419556111,0,0,clear|clear|clear,false|false|false,38|38|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00079,5,0.640164393329,McG-L|McG-N|McG-O,mix_5df0d210127a|mix_76cfb2bccc8d|mix_f959e52ab387,0.593973|0.448046|0.384585,high|medium|low,0.209387908013,1.85658305579,2.87829376005,0.741141622044,0.236255478465,0,0,clear|clear|clear,false|false|false,38|38|38,1,McG-O,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00069,6,0.636231434428,McG-I|McG-pro2|McG-N,mix_58fa089225bc|mix_6cbe1fdaeb7b|mix_76cfb2bccc8d,0.609230|0.342488|0.448046,high|low|medium,0.26674144093,1.91431000624,3.11384038353,0.793240322756,0.00819588111432,0,0,clear|clear|clear,false|false|false,38|38|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00081,7,0.608061802589,McG-pro2|McG-N|McG-J,mix_6cbe1fdaeb7b|mix_76cfb2bccc8d|mix_7df159240700,0.342488|0.448046|0.444591,low|medium|low,0.105558046412,1.37276280151,3.18161397285,0.597796566689,0.649122746188,0,0,clear|clear|clear,false|false|false,38|38|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00023,8,0.592201990047,McG-K|McG-pro2|McG-N,mix_176dff701046|mix_6cbe1fdaeb7b|mix_76cfb2bccc8d,0.580746|0.342488|0.448046,medium|low|medium,0.238257540125,1.73561106632,2.989755608,0.709887794524,0.121458772137,0,0,clear|clear|clear,false|false|false,38|38|38,1,McG-K,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00084,9,0.579413447287,McG-N|McG-J|McG-O,mix_76cfb2bccc8d|mix_7df159240700|mix_f959e52ab387,0.448046|0.444591|0.384585,medium|low|low,0.063461107555,1.20674792839,3.06460772434,0.52013773748,0.816516286519,0,0,clear|clear|clear,false|false|false,38|38|38,1,McG-O,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
No Prize,Similar Ratings,NoPrize_SimilarRatings_00041,10,0.569069527305,McG-M|McG-L|McG-N,mix_22ae53b1c0f8|mix_5df0d210127a|mix_76cfb2bccc8d,0.571221|0.593973|0.448046,medium|high|medium,0.145926800458,1.53748856225,2.63252413912,0.589186626611,0.488601130081,0,0,clear|clear|clear,false|false|false,38|38|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00022,1,0.856030520152,DU-P2|DU-O2|PXL-L3,mix_394fbfb78a5d|mix_94dea4d9516e|mix_de21d14989c8,0.599075|0.428550|0.354413,high|low|low,0.244662107764,1.99900673721,2.91841421949,1,0.280152600759,0,0,clear|clear|clear,false|false|false,13|13|29,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00025,2,0.731824293219,DU-P2|PXL-L5|PXL-L3,mix_394fbfb78a5d|mix_bd4d7c6e0ea0|mix_de21d14989c8,0.599075|0.287740|0.354413,high|low|low,0.311334439369,1.85795508441,2.83964256387,0.898279765649,0.0660024034978,0,0,clear|clear|clear,false|false|false,13|29|29,1,PXL-L5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00024,3,0.644202169933,DU-P2|PXL-L4|PXL-L3,mix_394fbfb78a5d|mix_9b6f253d1335|mix_de21d14989c8,0.599075|0.601972|0.354413,high|high|low,0.24755886828,1.63354531699,2.72138832304,0.737540646454,0.270848263847,0,0,clear|clear|clear,false|false|false,13|29|29,1,PXL-L4,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00016,4,0.600834500872,DU-P2|PXL-L2|DU-O2,mix_394fbfb78a5d|mix_66c12fb63344|mix_94dea4d9516e,0.599075|0.619624|0.428550,high|high|low,0.19107399518,1.51985612085,2.54443594878,0.637973989116,0.452276547896,0,0,clear|clear|clear,false|false|false,13|29|13,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00018,5,0.557882094917,DU-P2|PXL-L2|PXL-L5,mix_394fbfb78a5d|mix_66c12fb63344|mix_bd4d7c6e0ea0,0.599075|0.619624|0.287740,high|high|low,0.331883260659,1.61354792799,2.54391211314,0.697352618646,0,0,0,clear|clear|clear,false|false|false,13|29|29,1,PXL-L5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00005,6,0.52566165692,PXL-L1|DU-P2|PXL-L3,mix_0ae655011992|mix_394fbfb78a5d|mix_de21d14989c8,0.537280|0.599075|0.354413,medium|high|low,0.244662107764,1.43406533194,2.56709392443,0.58703892096,0.280152600759,0,0,clear|clear|clear,false|false|false,29|13|29,1,PXL-L1,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00019,7,0.490821658106,DU-P2|PXL-L2|PXL-L3,mix_394fbfb78a5d|mix_66c12fb63344|mix_de21d14989c8,0.599075|0.619624|0.354413,high|high|low,0.265210929054,1.41680402686,2.46321191919,0.559989523317,0.214150197261,0,0,clear|clear|clear,false|false|false,13|29|29,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00023,8,0.465277774945,DU-P2|PXL-L4|PXL-L5,mix_394fbfb78a5d|mix_9b6f253d1335|mix_bd4d7c6e0ea0,0.599075|0.601972|0.287740,high|high|low,0.314231199885,1.38224656035,2.6527409644,0.567422702034,0.0566980665865,0,0,clear|clear|clear,false|false|false,13|29|29,2,PXL-L4|PXL-L5,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00003,9,0.460512820173,PXL-L1|DU-P2|PXL-L4,mix_0ae655011992|mix_394fbfb78a5d|mix_9b6f253d1335,0.537280|0.599075|0.601972,medium|high|high,0.064691738506,1.11121902383,2.43114639694,0.361087567289,0.858213831706,0,0,clear|clear|clear,false|false|false,29|13|29,2,PXL-L1|PXL-L4,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Vermont,Similar Ratings,Vermont_SimilarRatings_00020,10,0.454634860743,DU-P2|DU-O2|PXL-L4,mix_394fbfb78a5d|mix_94dea4d9516e|mix_9b6f253d1335,0.599075|0.428550|0.601972,high|low|high,0.173421934406,1.19093495482,2.62072486724,0.441049922308,0.508974614483,0,0,clear|clear|clear,false|false|false,13|13|29,1,PXL-L4,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
