column_name,level,data_type,source,required,allowed_values_or_range,description
excerpt_id,trial,string,responses_json.excerpt_id or active stimulus config,yes,active excerpt IDs,Configured excerpt identifier.
song_position,trial,integer,responses_json.song_position,no,1-2 within episode,Song order within the episode.
participant_song_label,trial,string,stimuli.json excerpt participantLabel,no,Song A or Song B,Participant-facing song label.
song_title,trial,string,stimuli.json finalExcerptName,no,active song titles,Researcher-facing song title for traceability.
presentation_label,candidate,string,responses_json.display_label and mapping metadata,yes,A B C D E,Trial-specific anonymous candidate label.
display_position,candidate,integer,responses_json.display_position,yes for complete trial,1-5,Displayed position of the anonymous label.
stimulus_id,candidate,string,responses_json.stimulus_id validated against mix_mapping_json,yes,active stimulus_id,Stable stimulus identifier.
actual_mix_id,candidate,string,responses_json.actual_mix_id or active config,no,active actualMixId,Underlying mix identifier distinct from presentation label.
audio_path,candidate,string,responses_json.audio_path or active config,no,,Frontend audio path.
human_rating,candidate,number,responses_json.rating,yes for complete candidate,0-100,Human rating preserved for later target construction; no preference label is derived in Phase 6B.1.
rating_set,candidate,boolean,responses_json.rating_set,no,true false,Whether frontend recorded deliberate rating interaction.
audio_played,candidate,boolean,responses_json.audio_played,no,true false,Whether frontend recorded required playback.
first_play_timestamp,candidate,string,responses_json.first_play_timestamp,no,ISO timestamp if present,First playback timestamp for candidate.
comparative_comment,trial,string,responses_json.comparative_comment,yes for complete trial,non-empty in complete trial,Trial-level comparative comment repeated across the five candidate rows.
response_time_ms,candidate,number,responses_json.response_time_ms,no,non-negative if present,Trial/candidate response time as exported.
z_RMS,candidate,number,final_20_stimulus_feature_table.csv joined by stimulus_id,yes for active complete candidate,numeric,Primary frozen acoustic descriptor.
z_CF,candidate,number,final_20_stimulus_feature_table.csv joined by stimulus_id,yes for active complete candidate,numeric,Primary frozen acoustic descriptor.
z_SW,candidate,number,final_20_stimulus_feature_table.csv joined by stimulus_id,yes for active complete candidate,numeric,Primary frozen acoustic descriptor.
z_SI,candidate,number,final_20_stimulus_feature_table.csv joined by stimulus_id,no numeric sensitivity-only,numeric,Sensitivity-only acoustic descriptor.
z_SI_role,candidate,string,final_20_stimulus_feature_table.csv,no,,Role label documenting z_SI as sensitivity/QC-oriented.
acoustic_feature_source_file,candidate,string,final_20_stimulus_feature_table.csv,no,,Source feature file recorded in feature table.
acoustic_feature_table_used,candidate,string,final_20_stimulus_feature_table.csv,no,,Feature table provenance recorded in feature table.
active_stimulus_match,candidate,boolean,stimuli.json active stimulus lookup,yes,true false,Whether stimulus_id is part of active five-mix config.
feature_join_status,candidate,string,feature join validation,yes,matched missing,Whether acoustic features matched exactly by stimulus_id.
trial_row_count,trial,integer,derived from grouped responses_json rows,yes,5 for complete trial,Number of candidate rows found for participant-trial.
trial_labels,trial,string,derived from grouped responses_json rows,yes for complete trial,A|B|C|D|E,Pipe-separated labels present in the trial.
trial_stimulus_ids,trial,string,derived from grouped responses_json rows,yes for complete trial,pipe-separated stimulus IDs,Stimulus IDs present in the trial.
trial_validation_status,trial,string,validation layer,yes,complete incomplete malformed,Trial-level validation status without applying final exclusion criteria.
candidate_validation_status,candidate,string,validation layer,yes,valid invalid,Candidate-level validation status.
validation_issues,candidate,string,validation layer,no,pipe-separated issue codes,Validation issues affecting this row/trial.
