comparison_id,comparison_protocol_version,metric_protocol_version,synthetic_comparison_notice,comparison_type,metric,model_a,condition_a,model_b,condition_b,baseline_model,effect_estimate,effect_direction_definition,ci_lower,ci_upper,bootstrap_replicates,bootstrap_mode,bootstrap_master_seed,bootstrap_derived_seed,ci_method,ci_level,cluster_unit,primary_estimand,participant_count,aligned_target_count,valid_pair_count,coverage_a,coverage_b,comparison_status,status_reason,principal_baseline_comparator_status,p_value
llm_vs_baseline__mae__dbb6c3a89f2c,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,gpt,non_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,3551004300,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__71b3a3e906e7,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,gpt,non_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,3282565426,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__744338e391c7,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,gpt,non_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,590130391,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__a0c9e86763c5,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,gpt,non_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,751096935,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__c69e3113841d,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,gpt,non_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1818986058,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__3cfc75ac89b5,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,gpt,non_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,147683472,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__44adae10a904,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,gpt,non_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,3608880001,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__175edc843f9e,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,gpt,personalised_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,2354997496,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__f99652c69d7c,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,gpt,personalised_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1743436413,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__b33e296bbab8,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,gpt,personalised_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,3414539977,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__87f904a26b28,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,gpt,personalised_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,658171467,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__01253a9cc0cb,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,gpt,personalised_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,786423956,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__bc1a62f90a86,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,gpt,personalised_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1555569308,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__5ccc83e3865e,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,gpt,personalised_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2982708543,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
