song,condition,original_mix_name,source_path,review_path,source_sha256,review_sha256,hash_match
New Skin,Wide Ratings,DU-T,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\New Skin\Wide Ratings\DU-T_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\New Skin\Wide Ratings\DU-T_28sec.wav,5fcf61c6cdc6194440a3bf64c577a20c82fdc9d87ad9bb9c1eea5ba2ba4b641c,5fcf61c6cdc6194440a3bf64c577a20c82fdc9d87ad9bb9c1eea5ba2ba4b641c,true
New Skin,Wide Ratings,DU-S,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\New Skin\Wide Ratings\DU-S_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\New Skin\Wide Ratings\DU-S_28sec.wav,fb1e8965afc61152380dd670bb11b514e5d1d3b2e538a084161b6e1bfd421d0f,fb1e8965afc61152380dd670bb11b514e5d1d3b2e538a084161b6e1bfd421d0f,true
No Prize,Similar Ratings,McG-L,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\No Prize\Similar Ratings\McG-L_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\No Prize\Similar Ratings\McG-L_28sec.wav,16328de91f2be5833501bdce49b9b923c9151d5001dd28cb887250f37728197a,16328de91f2be5833501bdce49b9b923c9151d5001dd28cb887250f37728197a,true
No Prize,Similar Ratings,McG-pro2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\No Prize\Similar Ratings\McG-pro2_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\No Prize\Similar Ratings\McG-pro2_28sec.wav,d8eebe73a5ecafac133f0711860827e4c9c2a1d37c2b376eb2705a8adee66e33,d8eebe73a5ecafac133f0711860827e4c9c2a1d37c2b376eb2705a8adee66e33,true
No Prize,Similar Ratings,McG-N,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\No Prize\Similar Ratings\McG-N_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\No Prize\Similar Ratings\McG-N_28sec.wav,58c5437dd5e1ee6b6fc35ad0e46ff0e74c06ac4738049a97d13b59e2a667e6a9,58c5437dd5e1ee6b6fc35ad0e46ff0e74c06ac4738049a97d13b59e2a667e6a9,true
No Prize,Wide Ratings,McG-K,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\No Prize\Wide Ratings\McG-K_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\No Prize\Wide Ratings\McG-K_28sec.wav,7d4323e16aece2c5df06dd65e70c844336aaeb290e3cb84744efd7a24db8f932,7d4323e16aece2c5df06dd65e70c844336aaeb290e3cb84744efd7a24db8f932,true
No Prize,Wide Ratings,McG-P,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\No Prize\Wide Ratings\McG-P_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\No Prize\Wide Ratings\McG-P_28sec.wav,c44061746b0359962685060129d36ff86a14cf0ca924b9728137eabe10414d2f,c44061746b0359962685060129d36ff86a14cf0ca924b9728137eabe10414d2f,true
No Prize,Wide Ratings,McG-O,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\No Prize\Wide Ratings\McG-O_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\No Prize\Wide Ratings\McG-O_28sec.wav,18587365a76be96e46623c20cdb3ffb8ef8093f637e4e3defa11f7bf1fd60a5b,18587365a76be96e46623c20cdb3ffb8ef8093f637e4e3defa11f7bf1fd60a5b,true
Vermont,Similar Ratings,DU-P2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\Vermont\Similar Ratings\DU-P2_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\Vermont\Similar Ratings\DU-P2_28sec.wav,1bf5d2a166a695394c8e8c38635e0e84e7480449fee2631f6232d34b90a294a5,1bf5d2a166a695394c8e8c38635e0e84e7480449fee2631f6232d34b90a294a5,true
Vermont,Similar Ratings,DU-O2,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\Vermont\Similar Ratings\DU-O2_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\Vermont\Similar Ratings\DU-O2_28sec.wav,bad43cfeb6aa3521d092454ee0d93c51b9d6094f9114771e61a6ec38b042bd16,bad43cfeb6aa3521d092454ee0d93c51b9d6094f9114771e61a6ec38b042bd16,true
Vermont,Similar Ratings,PXL-L3,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\Vermont\Similar Ratings\PXL-L3_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\Vermont\Similar Ratings\PXL-L3_28sec.wav,fcdd4bc70acff002aa3d06620ad4f16bede82e04bc3d824cfd5880730f4b8d34,fcdd4bc70acff002aa3d06620ad4f16bede82e04bc3d824cfd5880730f4b8d34,true
Vermont,Wide Ratings,PXL-L1,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\Vermont\Wide Ratings\PXL-L1_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\Vermont\Wide Ratings\PXL-L1_28sec.wav,1ee4d875c5055fd79e80a88811da3b81301b8fce4655d408bb75f5df1b84f511,1ee4d875c5055fd79e80a88811da3b81301b8fce4655d408bb75f5df1b84f511,true
Vermont,Wide Ratings,PXL-L4,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\Vermont\Wide Ratings\PXL-L4_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\Vermont\Wide Ratings\PXL-L4_28sec.wav,3ad878aeb4bef9e0412bbf431e01a933c26ccc0c85073b96b5cf860bfd07ddb5,3ad878aeb4bef9e0412bbf431e01a933c26ccc0c85073b96b5cf860bfd07ddb5,true
Vermont,Wide Ratings,PXL-L5,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\06_rating_stratification\candidate_review_audio\Vermont\Wide Ratings\PXL-L5_28sec.wav,C:\Users\oscar\Documents\7. QMUL UNIVERSITY\1. Master Program\3. MSc Project\intent2control-dissertation\outputs\stimulus_selection\08_backup_song_expansion\07_alignment_verification\review_audio\Vermont\Wide Ratings\PXL-L5_28sec.wav,f0e6353ebe7bccf206e541161c1581bf8209d0218ce67144682a6aa4563d6561,f0e6353ebe7bccf206e541161c1581bf8209d0218ce67144682a6aa4563d6561,true
